Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-05-08,14:00,Reims,Lens,1,2,A,1,0,H,7,21,2,5,12,9,3,10,1,2,0,0,2.05,1.79
F1,2022-05-08,14:00,Angers,Bordeaux,4,1,H,2,0,H,13,7,8,3,14,18,6,3,1,5,0,0,1.97,1.85
F1,2022-05-08,19:45,Paris SG,Troyes,2,2,D,2,1,H,17,9,7,3,10,19,7,4,1,2,0,0,1.39,2.96
F1,2022-05-11,18:00,Nice,St Etienne,4,2,H,0,2,A,14,12,7,6,10,13,2,2,2,3,0,0,1.83,2.0
F1,2022-05-11,20:00,Nantes,Rennes,2,1,H,1,1,D,9,17,3,5,13,9,5,5,2,1,0,0,1.73,2.12
F1,2022-05-14,20:00,Metz,Angers,1,0,H,0,0,D,7,11,2,4,18,17,1,4,3,1,0,0,1.8,2.04
F1,2022-05-14,20:00,Montpellier,Paris SG,0,4,A,0,3,A,10,15,3,9,9,7,0,2,2,4,0,0,1.32,3.34
F1,2022-05-14,20:00,Bordeaux,Lorient,0,0,D,0,0,D,14,13,1,2,10,11,3,1,4,4,1,0,1.6,2.35
F1,2022-05-14,20:00,Lyon,Nantes,3,2,H,1,0,H,17,17,6,6,12,10,5,6,1,0,0,0,1.37,3.05
F1,2022-05-14,20:00,Monaco,Brest,4,2,H,1,2,A,25,10,9,5,10,12,10,5,2,1,0,0,1.41,2.87
F1,2022-05-14,20:00,Troyes,Lens,1,3,A,1,2,A,6,15,2,9,9,9,5,7,1,2,0,0,1.74,2.1
F1,2022-05-14,20:00,Rennes,Marseille,2,0,H,2,0,H,12,8,4,0,14,8,6,1,1,2,0,0,1.69,2.17
F1,2022-05-14,20:00,St Etienne,Reims,1,2,A,1,1,D,16,17,7,7,8,9,3,2,1,0,0,0,1.79,2.04
F1,2022-05-14,20:00,Strasbourg,Clermont,1,0,H,1,0,H,11,11,6,3,13,9,3,2,1,2,0,0,1.7,2.16
F1,2022-05-14,20:00,Nice,Lille,1,3,A,1,0,H,16,9,6,5,11,9,10,3,2,3,0,0,1.75,2.1
F1,2022-05-21,20:00,Nantes,St Etienne,1,1,D,1,0,H,12,13,5,3,8,9,5,5,2,0,0,0,1.6,2.35
F1,2022-05-21,20:00,Angers,Montpellier,2,0,H,1,0,H,19,14,3,1,17,12,4,3,1,4,0,0,1.64,2.26
F1,2022-05-21,20:00,Marseille,Strasbourg,4,0,H,1,0,H,17,10,11,4,11,16,7,3,2,1,0,0,1.74,2.11
F1,2022-05-21,20:00,Brest,Bordeaux,2,4,A,2,2,D,11,15,7,7,10,12,10,1,1,0,0,0,1.5,2.59
F1,2022-05-21,20:00,Lorient,Troyes,1,1,D,0,1,A,17,8,6,3,18,10,6,4,2,2,0,1,1.75,2.1
F1,2022-05-21,20:00,Clermont,Lyon,1,2,A,0,1,A,18,21,3,5,10,15,10,4,2,2,0,0,1.44,2.76
F1,2022-05-21,20:00,Paris SG,Metz,5,0,H,3,0,H,27,4,12,1,7,12,4,2,1,2,0,1,1.23,4.06
F1,2022-05-21,20:00,Lille,Rennes,2,2,D,1,1,D,13,13,4,3,12,0,7,4,2,2,0,0,1.6,2.34
F1,2022-05-21,20:00,Reims,Nice,2,3,A,2,0,H,5,17,4,6,8,14,2,7,0,2,0,0,1.7,2.17
F1,2022-05-21,20:00,Lens,Monaco,2,2,D,1,1,D,28,12,10,5,5,7,10,8,2,3,0,0,1.55,2.46
F1,2022-08-05,20:00,Lyon,Ajaccio,2,1,H,2,1,H,11,8,6,4,10,18,4,3,1,6,1,1,1.68,2.21
F1,2022-08-06,16:00,Strasbourg,Monaco,1,2,A,0,1,A,11,24,7,11,18,15,3,7,0,2,0,0,1.97,1.85
F1,2022-08-06,20:00,Clermont,Paris SG,0,5,A,0,3,A,7,18,1,12,13,13,0,6,2,1,0,0,1.38,3.0
